#{"t_start": 1748618516.2045825, "env_id": "None"}
r,l,t
-35.0,50,1.218721
-35.0,50,1.228817
-35.0,50,1.239308
-0.8,2,1.24
-35.5,50,1.249744
-35.0,50,1.260493
-35.0,50,1.270782
-35.0,50,1.28119
-35.0,50,1.291214
-35.0,50,1.300847
-35.0,50,1.625784
-34.5,50,1.6362
-35.0,50,1.646446
-34.55,50,1.656306
-35.0,50,1.666462
-35.0,50,1.677023
-35.0,50,1.686969
18.6,9,1.689044
-37.0,50,1.699053
18.6,11,1.701639
-35.0,50,2.549901
4.0,7,2.551561
238.8,50,2.561517
5.2,5,2.562815
19.8,9,2.564797
-1.0,3,2.56563
5.8,5,2.566866
17.4,9,2.568924
3.7,7,2.570693
-0.8,2,2.571414
4.0,6,2.872347
19.2,9,2.874372
-0.8,2,2.874975
16.8,9,2.876866
16.2,9,2.87877
3.7,7,2.880352
4.3,5,2.881601
19.2,9,2.883586
-35.0,50,2.8942
-1.0,3,2.895325
-1.4,4,3.685445
-1.1,3,3.686566
-0.8,2,3.68738
-1.4,4,3.688659
19.8,9,3.690861
6.4,7,3.692495
17.4,9,3.694451
5.8,5,3.695682
-43.9,50,3.705698
4.3,5,3.706959
-1.1,3,3.989389
-35.0,50,3.999772
16.2,9,4.001853
-1.4,4,4.002966
17.4,9,4.005058
-1.1,3,4.005946
4.0,7,4.007574
5.8,7,4.009119
4.0,6,4.010475
4.7,6,4.011932
-44.8,50,4.790715
-0.8,2,4.791487
-0.8,2,4.792137
4.0,6,4.793555
5.8,7,4.79514
6.0,7,4.796766
18.0,9,4.798709
16.2,9,4.800635
-1.1,3,4.80144
-4.6,50,4.811402
5.4,8,5.085855
-1.1,3,5.086749
18.6,9,5.088733
-1.1,3,5.089537
3.3,7,5.091177
19.8,9,5.093137
16.2,9,5.095037
-0.8,2,5.095654
-1.1,3,5.096456
-0.8,2,5.097043
-8.5,50,5.841441
19.2,9,5.843601
-0.8,2,5.844274
-1.1,3,5.84508
5.8,7,5.846666
-0.8,2,5.847289
-1.4,4,5.848266
-44.8,50,5.858088
-1.1,4,5.859191
5.4,8,5.860922
5.2,7,6.13758
-1.1,3,6.138409
16.8,9,6.140306
-1.4,4,6.14127
-1.1,3,6.142045
-0.8,2,6.142655
4.3,5,6.143802
-1.1,4,6.144759
4.6,7,6.146294
16.2,9,6.148227
7849
-15.3,50,2.437327
-3.15,14,2.444471
-10.3,33,2.456192
10.0,25,2.462735
-3.5,11,2.465729
-7.9,25,2.472223
16.1,44,2.48357
-2.0,6,2.485624
-7.45,23,2.49174
-7.4,23,2.497814
-15.45,50,2.51108
-9.55,30,2.519001
1.2,15,2.522991
28.6,23,2.52888
-1.75,5,2.53044
-1.8,7,2.532462
-15.1,50,2.582853
-1.4,4,2.58426
-2.4,7,2.586392
-3.1,29,2.594122
7.2,15,2.598476
-2.2,30,2.607695
34.9,35,2.617963
-2.0,6,2.619925
-5.75,18,2.626268
-3.95,16,2.630845
29.75,50,2.64594
-6.15,19,2.654945
34.25,50,2.671391
11.9,25,2.678461
-2.7,11,2.681696
-5.55,17,2.686924
-2.8,8,2.689675
-3.9,15,2.694396
13.6,14,2.698365
-9.15,29,2.707101
-10.8,39,2.717914
-8.6,27,2.725836
98.95,39,2.735763
-5.85,18,2.740447
26.8,29,2.747889
12.95,16,2.752196
-5.9,18,2.757092
-13.1,42,2.767728
-2.65,8,2.770067
-1.4,4,2.771333
-5.4,17,2.777509
29.65,21,2.784433
14.75,49,2.798784
-6.75,20,2.805248
3.25,16,2.809617
-10.8,34,2.818432
-3.65,11,2.821911
-15.85,50,2.834893
-5.2,16,2.840512
-2.45,8,2.843554
-10.75,34,2.852564
-7.2,25,2.859483
-0.8,2,2.860418
28.25,28,2.867871
-10.05,31,2.903882
-6.0,18,2.909302
-1.85,5,2.91104
-4.9,15,2.915491
-14.45,46,3.423515
-1.45,4,3.425028
50.9,29,3.434073
-0.6,22,3.440033
40.3,27,3.447934
1.75,33,3.456796
-1.1,3,3.458091
2.95,10,3.461029
-2.45,7,3.463271
-6.75,22,3.469291
-3.25,10,3.472253
-4.3,13,3.476002
0.3,19,3.481853
1.3,15,3.48629
-9.3,29,3.495318
15.9,14,3.499407
-8.4,44,3.510681
4.25,9,3.513492
3.1,9,3.516016
-1.75,5,3.517542
30.8,22,3.523546
-5.2,15,3.527802
-15.6,50,3.541236
-0.85,4,3.543145
12.95,23,3.55034
37.5,33,3.560751
-15.2,50,3.574705
-3.45,10,3.578317
-1.75,5,3.580028
53.2,41,3.591369
-0.8,7,3.594265
-1.7,5,3.595944
-6.95,22,3.601739
9.2,23,3.607696
15.3,37,3.617194
-6.05,22,3.623302
15.15,28,3.630791
1.1,15,3.634802
-4.2,13,3.638333
-9.6,31,3.648171
13.1,44,3.6618
-2.3,7,3.664351
3.6,13,3.667874
-0.8,2,3.668626
4.05,25,3.675301
-2.65,8,3.677687
3.95,7,3.680698
11.85,19,3.711651
-5.75,18,3.71666
-3.25,10,3.719812
10.65,23,3.727244
1.65,33,3.736708
4.2,6,3.738695
-11.35,36,3.747925
6.45,37,3.757834
21.85,49,3.770572
-7.7,25,3.777399
-3.4,10,3.780262
-2.05,6,3.782047
7.6,14,3.785732
-4.3,14,3.789615
23.15,41,3.800926
15.05,28,3.808576
8.15,16,3.812968
2.3,18,3.817794
-2.0,6,3.819633
-3.4,10,3.822466
-1.1,4,3.824165
15.7,28,3.831956
29.6,20,3.837631
26.2,50,3.850445
-16.0,50,3.863887
-14.45,45,3.875963
-9.0,29,3.883891
-4.2,18,3.889121
2.45,12,3.893053
44.95,47,3.90562
-3.55,11,3.909069
-4.1,13,3.912842
32.5,36,3.923451
-2.7,8,3.926362
13.1,20,3.931937
-8.55,28,3.939684
-0.3,20,3.945328
-6.4,23,3.951823
-7.05,22,3.958432
-8.2,26,3.965695
-1.4,4,3.967168
30.25,21,3.972679
-3.85,13,3.97662
-11.95,38,3.986531
-15.55,50,4.026357
-2.0,6,4.029071
-7.75,25,4.037047
6.1,36,4.048092
-4.55,12,4.051942
12.55,32,4.539649
-2.0,6,4.541632
-4.6,15,4.546333
-3.6,11,4.54951
-8.8,28,4.557236
-2.4,7,4.559462
-3.4,30,4.567379
3.35,8,4.569726
-1.45,4,4.571005
-2.05,7,4.574032
25.05,22,4.580588
3.6,13,4.584796
9.0,9,4.588297
-3.5,11,4.591789
-3.5,11,4.594913
-6.4,20,4.600317
-2.0,48,4.614838
4.9,10,4.617876
-3.25,11,4.621322
-2.35,7,4.624109
19.25,37,4.633955
0.95,17,4.638618
-2.05,6,4.64044
66.5,29,4.647966
-2.65,8,4.650304
-0.55,19,4.655366
-0.25,46,4.667483
61.35,31,4.675792
-2.6,8,4.678142
-1.8,5,4.679727
-2.0,8,4.681993
-8.5,27,4.689425
18.5,16,4.693947
11.1,22,4.69999
-0.8,30,4.708064
-3.05,9,4.710937
-1.45,6,4.71281
-2.45,8,4.715102
24.25,18,4.71999
-3.0,9,4.723367
-2.6,8,4.725923
63.4,26,4.732816
16.5,38,4.742706
70.2,30,4.750412
-1.15,3,4.75164
-3.2,15,4.756181
16.05,19,4.761533
-1.75,6,4.763469
-1.1,3,4.764518
3.55,14,4.768193
3.85,26,4.77484
-2.65,8,4.777207
9.95,17,4.815328
-1.4,4,4.81664
-2.0,6,4.818365
77.35,45,4.83055
46.5,24,4.837533
-3.1,9,4.840167
-1.75,5,4.841616
10.35,24,4.847969
-3.5,11,4.850979
3.95,19,4.856113
13.75,30,4.863897
-2.65,11,4.8669
-2.35,7,4.868862
-5.15,16,4.873036
8.1,12,4.876393
12.3,15,4.880291
2.1,20,4.885403
40.75,23,4.891432
-1.1,3,4.892694
-6.05,20,4.89783
5.15,23,4.903822
3.4,21,4.909586
-3.35,10,4.912335
-5.75,18,4.917017
-4.2,13,4.920624
-6.25,20,4.926143
18.4,22,4.932142
-2.45,7,4.934414
23.1,11,4.937471
2.4,11,4.940532
-3.1,9,4.943096
-1.8,5,4.944598
4.3,5,4.946046
-2.6,8,4.948236
18.1,19,4.953109
-2.35,8,4.955518
13.0,16,4.959834
-3.0,9,4.962322
-4.45,14,4.966048
5.2,5,4.967549
-3.65,31,4.975453
2.8,10,4.978242
-3.8,12,4.981554
-2.05,6,4.983278
11.6,40,4.993658
14.45,36,5.003037
0.8,16,5.007529
-2.6,8,5.009937
-1.4,4,5.011243
6.45,17,5.015729
-3.2,10,5.018458
-3.4,10,5.021266
-3.5,15,5.025553
14.05,16,5.029823
-1.7,5,5.031347
-1.5,4,5.032577
2.15,12,5.035752
-4.5,16,5.039916
7.15,15,5.044032
60.5,27,5.050863
-4.15,13,5.054467
-0.45,40,5.064737
-1.7,5,5.066403
11.25,19,5.071241
11.15,21,5.076774
1.2,15,5.080688
29.25,42,5.106339
-2.0,7,5.10861
8.25,19,5.113876
6.1,14,5.118287
-5.4,17,5.123569
1.0,15,5.127723
5.8,7,5.129757
-1.5,8,5.131953
35.65,18,5.136593
16.0,25,5.143109
9.35,8,5.145419
-1.1,3,5.146415
2.7,30,5.614718
-2.9,9,5.617506
-4.45,31,5.626964
7.8,12,5.630433
7.5,14,5.634127
5.95,17,5.638563
-0.6,21,5.64492
19.85,20,5.650043
-3.05,10,5.652786
-7.85,25,5.659582
8.1,12,5.66301
-1.1,3,5.664124
12.1,23,5.670026
55.1,36,5.67904
-3.25,10,5.681809
-2.0,7,5.683829
-0.8,2,5.684588
8.2,14,5.688376
-1.4,4,5.689723
-2.35,7,5.691663
-2.0,6,5.693407
-2.45,7,5.695339
-1.75,6,5.697049
-1.15,3,5.698014
-0.1,16,5.702236
9.5,7,5.704193
29.45,22,5.71003
-0.85,9,5.712584
-2.65,8,5.71492
16.7,17,5.719332
3.25,19,5.72447
20.1,22,5.730367
1.0,21,5.735878
19.0,39,5.745699
-4.8,15,5.749695
0.5,29,5.757198
20.65,16,5.761417
-5.75,18,5.766081
-2.4,7,5.768077
-0.8,2,5.768814
8.5,14,5.772489
8.7,10,5.775197
-6.35,20,5.780325
59.9,21,5.785772
7.15,17,5.79038
20.2,13,5.793899
27.0,15,5.797872
-3.25,10,5.800884
1.15,15,5.805231
-2.4,7,5.807355
-1.7,5,5.808852
-0.8,2,5.809587
24.15,26,5.81628
35.1,22,5.822087
-15.5,50,5.866534
1.6,14,5.870331
-1.4,5,5.871811
-1.4,5,5.873282
-2.35,7,5.875324
-3.2,10,5.878302
0.3,18,5.883411
1.55,14,5.887282
25.35,28,5.894703
-2.65,8,5.8971
-1.15,6,5.898834
-6.25,28,5.905901
16.85,10,5.908749
-1.4,4,5.909994
-1.7,5,5.911427
0.55,17,5.915805
22.2,9,5.918224
41.7,38,5.928127
-1.7,5,5.92994
48.15,19,5.934877
-1.4,4,5.936126
-1.4,4,5.937333
15.3,21,5.942577
-1.7,5,5.944038
-3.3,9,5.946439
-3.6,10,5.949074
-1.4,4,5.950281
31.9,13,5.953727
-2.6,8,5.95608
15.35,9,5.958561
-3.25,10,5.961207
45.55,26,5.96778
1.75,13,5.971247
-1.1,3,5.972244
21.95,26,5.978943
-1.4,4,5.980345
-3.85,12,5.983539
-1.4,4,5.984774
-2.35,7,5.986781
-2.1,6,5.988643
4.1,23,5.994728
17.2,11,5.997752
18.35,18,6.002422
5.35,21,6.007949
-3.85,12,6.011222
-0.8,2,6.011958
1.25,15,6.015879
-2.0,8,6.018059
-2.9,9,6.020598
-2.65,8,6.02297
12.6,24,6.029128
23.5,26,6.035724
-1.1,3,6.036726
7.85,14,6.040311
-3.2,10,6.042968
2.8,10,6.045661
-2.05,6,6.04738
-2.3,7,6.049313
3.65,7,6.051226
-2.6,8,6.053521
3.7,8,6.055802
-3.0,9,6.058277
-1.1,4,6.059569
1.75,13,6.063323
-1.1,3,6.064806
-2.3,7,6.067041
22.1,19,6.072217
35.4,20,6.077824
-1.4,4,6.079159
-2.95,9,6.081597
6.6,35,6.090523
-1.1,6,6.092451
-3.3,10,6.0951
-0.8,2,6.095827
-8.55,27,6.102625
-2.05,6,6.104429
-2.7,8,6.106691
34.1,24,6.112839
-1.7,5,6.114443
-2.65,8,6.116591
1.45,15,6.120527
-1.15,3,6.121635
25.95,23,6.127504
-0.8,2,6.128285
-1.95,5,6.129706
-1.1,3,6.130668
3.0,9,6.133194
-1.1,3,6.134227
-8.05,23,6.154767
7.55,15,6.158814
-1.5,25,6.165687
-1.55,24,6.172233
-2.0,6,6.174572
-2.1,7,6.176604
-1.45,5,6.178043
-2.4,7,6.179956
16.05,19,6.18485
-5.1,16,6.189096
2.8,10,6.191917
-2.6,8,6.194226
-4.75,15,6.198174
-1.1,3,6.199145
8.3,38,6.208777
-1.4,4,6.210222
-5.75,18,6.214867
